,title,company,salary,summary
0,AI Residency Program 2022 - US Locations,Facebook App,,We also encourage collaborations beyond the assigned mentor.The research will be communicated to the academic community by submitting papers to top academic…
1,newData Scientist II - Algorithmic Justice Specialist,ACLU,,"Knowledge of concepts such as AI/ML auditing, algorithmic impact assessments, explainability, transparency, recourse, robustness, human-ai interaction, and/or…"
2,newAssociate Evaluation Officer (2 Posts) [Temporary],United Nations,,"Inspection and evaluation assignments are undertaken in all areas of work of the United Nations Secretariat, i.e., in the maintenance of international peace and…"
3,newAI/ML Specialist - CCI,"Amazon Web Services, Inc.",,10+ years of technology related sales or business development experience.BA/BS degree or equivalent experience required.
4,"Communications Manager, Responsible AI",Google,,"Bachelor's degree or equivalent practical experience.7 years of experience in Policy, Crisis, or Public Relations/Communications, supporting executives or…"
5,newHuman Resources Associate,Biz2Credit Inc,,"Currently, we seek to hire a Human Resources Associate to provide direct support for the following functional areas: onboarding, data administration and…"
6,newCommunity Engagement & Events Marketing Coordinator,Barnes & Noble Education,,"In this role you will support the execution of bartleby’s Influencer, Brand Ambassador, and in-person Event Marketing strategies to drive the growth of bartleby…"
7,"Analyst, Global Assortment Planning",Tiffany & Co.,,Apply AI to all stores with dynamic quarterly update: optimize assortments for all stores using AI based on agreed upon schedule.
8,newAssociate Director / Machine Learning and AI Expert,S&P Global,,Grade – 12 for internal use only.The Analytical Innovation team is a new multi-disciplinary team that focuses on developing new analytical products for S&P…
9,newAdministrative Assistant,United Nations,,"The Finance Division is responsible for securing the financing of the Organization's expenses, pursuant to Article 17 of the Charter of the United Nations, and…"
10,"Customer Engineer, Data & AI",Microsoft,,"Customer Success: Microsoft aspires to help our customers achieve their own digital transformation, leveraging the power of Microsoft Cloud solutions and…"
11,"Manager, Music Publishing Licensing and Partnerships",TikTok,,The music business development team drives negotiations and fosters relationships with record labels and music publishers.
12,Executive Assistant,"Amazon Web Services, Inc.",,"3+years of experience assisting at the executive level.Microsoft Outlook, Microsoft Word, Excel, PowerPoint, SharePoint and Visio."
13,"RVP, Healthcare Providers",Salesforce,,"Your team will sell the entire Salesforce portfolio, including core CRM, HLS specific industry solutions (Health Cloud), and any additional products and…"
